ID;pH;EC;Na;K;MO;Kdisp;Silt;ECEC;BD;CEC;Ca;Mg;Sand;Clay;SQIw;SAVI;EVI;NDWI;NDVI;NDMI;NDII;GCI;clase;X;Y;dpto;prov;dist;Culitvo priorizado;Textura;TS;GM;ZV;CL;EG;MP;SSST;ECP;EMP;EPP;ESP;CM;CK;MK;CMK;DC;FC;NDC;GR;SK;SA;Pmon;Pan;Tmin;Tmax;Tavg;Slope;Hillshade;Orientition;Elevation;TPI;TRI;TWI;Precipitation;Temperature
593;7.48;12.16;0.7;0.8;2;196.9;49.43;16.2;1.45;19.1;10.1;3.6;24.54;26.03;0.55;0.49;0.69;-0.28;0.57;0.41;0.28;1.42;Bajo;608705;9426879;Piura;Morropon;Buenos Aires;Banano;Loam;Lixisols;Piedmont alluvial fan;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Alluvial deposit;Neutral saline soil;62.35;22.22;4.94;4.32;2.81;12.63;4.5;17.13;69.72;553.76;-484.04;0;NA;NA;16.92;203;18.35;29.88;24.11;3.62;177;26.66;108;0.184;1.063;8.007;240.1;24.9
594;8.02;16.74;0.6;0.5;1.9;61.6;23.5;17.9;1.54;18.9;12.8;2.5;60.47;16.03;0.43;0.42;0.58;-0.37;0.49;0.32;0.19;1.14;Muy bajo;613427;9426353;Piura;Morropon;Buenos Aires;Banano;Sandy loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Alluvial deposit;Alkaline saline soil;71.51;13.97;2.79;3.35;5.12;25.6;5;30.6;54.55;645.08;-590.53;0;NA;NA;18.33;220;18.36;30.01;24.19;3.63;174;63.53;127;1.204;1.457;8.158;250.43;24.9
595;7.51;31.87;0.5;0.5;2;55.1;49.57;16.9;1.45;15.9;11.1;3.8;26.4;24.03;0.67;0.43;0.61;-0.3;0.52;0.34;0.23;1.38;Bajo;609521;9423420;Piura;Morropon;Buenos Aires;Banano;Loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Neutral saline soil;65.68;22.49;2.96;2.96;2.92;22.2;7.6;29.8;52.56;603.5;-550.94;0;NA;NA;16;192;18.36;29.87;24.12;3.24;180;90;105;-0.02;1.332;8.094;237.02;24.84
596;7.78;6.69;0.5;0.7;2.4;146.7;39.78;18.1;1.45;16.5;11.4;4;29.62;30.6;0.61;0.45;0.62;-0.26;0.53;0.36;0.25;1.22;Bajo;609602;9424029;Piura;Morropon;Buenos Aires;Banano;Clay loam;Ferralsols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Neutral saline soil;62.98;22.1;3.87;2.76;2.85;16.29;5.71;22;62.2;622.6;-560.4;0;NA;NA;16;192;18.36;29.87;24.12;3.24;180;116.47;114;-0.469;1.108;11.657;238.92;24.9
597;7.57;12.73;0.5;0.5;1.6;64.3;49.78;16.2;1.47;15.9;10.9;3.3;29.62;20.6;0.65;0.43;0.61;-0.3;0.52;0.34;0.23;1.38;Bajo;609521;9423420;Piura;Morropon;Buenos Aires;Banano;Loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Neutral saline soil;67.28;20.37;3.09;3.09;3.3;21.8;6.6;28.4;51.51;581;-529.49;0;NA;NA;16;192;18.36;29.87;24.12;3.24;180;314.88;105;-0.02;1.332;8.094;237.02;24.84
598;7.01;14.14;0.4;0.5;1.3;71.5;37.86;13.7;1.46;19.2;8.2;3.6;33.47;28.67;0.78;0.16;0.22;-0.2;0.24;0.15;0.03;0.5;Bajo;601929;9428149;Piura;Morropon;Buenos Aires;Frijol;Clay loam;Ferralsols;Floodplain;Tropical Premontane desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;59.85;26.28;3.65;2.92;2.28;16.4;7.2;23.6;46.82;467.42;-420.6;0;NA;NA;15.33;184;18.13;29.83;24;14.57;180;134.88;102;1.755;2.654;6.543;221.41;24.76
599;7.96;20.21;0.6;0.7;2.4;134.2;47.5;23;1.43;16.5;16.1;4.6;21.62;30.88;0.61;0.45;0.62;-0.26;0.53;0.41;0.29;1.45;Bajo;609605;9424067;Piura;Morropon;Buenos Aires;Banano;Clay loam;Ferralsols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Neutral saline soil;70;20;3.04;2.61;3.5;23;6.57;29.57;70.42;850.48;-780.06;0;NA;NA;16;192;18.36;29.87;24.12;1.62;180;225.12;114;-0.286;1.178;8.871;238.92;24.9
600;7.84;28.14;0.5;0.7;1.9;145.3;41.65;21.55;1.45;16.5;14.9;4.2;29.47;28.88;0.67;0.45;0.62;-0.26;0.53;0.36;0.25;1.22;Bajo;609602;9424029;Piura;Morropon;Buenos Aires;Banano;Clay loam;Ferralsols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Neutral saline soil;69.14;19.49;3.25;2.32;3.55;21.29;6;27.29;66.04;785.5;-719.46;0;NA;NA;16;192;18.36;29.87;24.12;3.24;180;116.47;114;-0.469;1.108;11.657;238.92;24.9
601;7.85;14.76;0.4;0.6;1.1;96.2;31.72;12;1.52;16.1;8;2;51.4;16.88;0.48;0.39;0.54;-0.3;0.47;0.3;0.17;0.99;Muy bajo;612060;9422942;Piura;Morropon;Buenos Aires;Banano;Loam;Lixisols;Floodplain;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Neutral saline soil;66.67;16.67;5;3.33;4;13.33;3.33;16.67;48.4;415.32;-366.92;0;NA;NA;16.25;195;18.38;29.82;24.11;6.68;177;14.09;120;2.571;2.06;7.481;238.18;24.9
602;7.38;18.31;0.9;0.6;1.2;112.4;35.72;18;1.49;16.4;11.1;3.9;41.54;22.74;0.48;0.45;0.62;-0.26;0.53;0.4;0.27;1.39;Muy bajo;609658;9424097;Piura;Morropon;Buenos Aires;Banano;Loam;Ferralsols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Neutral saline soil;61.67;21.67;3.33;5;2.85;18.5;6.5;25;67.23;607.02;-539.79;0;NA;NA;16;192;18.36;29.87;24.12;3.62;183;333.34;113;-1.531;1.357;8.068;238.92;24.9
603;8.28;13.99;0.6;0.5;2.3;69.1;13.79;8.3;1.56;16.4;4.4;1.8;71.47;14.74;0.34;0.52;0.75;-0.27;0.6;0.35;0.22;1.19;Muy bajo;612026;9421254;Piura;Morropon;Buenos Aires;Banano;Sandy loam;Lixisols;Floodplain;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Alkaline saline sodic soil;53.01;21.69;6.02;7.23;2.44;8.8;3.6;12.4;44.96;248.18;-203.22;0.7458862;NA;NA;16.17;194;18.35;29.78;24.06;3.62;177;153.34;118;1.735;1.86;8.082;233.62;24.85
604;7.99;16.24;1;0.5;1.4;79.5;59.72;16.7;1.42;16.4;10.5;3.7;11.54;28.74;0.26;0.52;0.75;-0.27;0.6;0.35;0.22;1.19;Muy bajo;612036;9421264;Piura;Morropon;Buenos Aires;Banano;Silty clay loam;Lixisols;Floodplain;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Neutral saline soil;62.87;22.16;2.99;5.99;2.84;21;7.4;28.4;64.29;574.7;-510.41;0.60510582;NA;NA;16.17;194;18.35;29.78;24.06;3.63;174;116.47;118;0.735;1.306;8.088;233.62;24.85
605;7.38;23.45;0.4;0.4;2.4;43.6;29.86;13.6;1.47;15.8;8.8;3;39.4;30.74;0.68;0.41;0.58;-0.24;0.5;0.35;0.23;1.26;Bajo;605925;9424236;Piura;Morropon;Buenos Aires;Frijol;Clay loam;Ferralsols;Alluvial terrace;Tropical Premontane desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;64.71;22.06;2.94;2.94;2.93;22;7.5;29.5;41.9;478.12;-436.22;0;NA;NA;14.75;177;18.27;29.87;24.08;5.12;177;18.51;108;0.347;1.685;7.659;229.94;24.9
606;7.04;6.85;0.4;0.5;2.4;81.8;47.74;15.1;1.49;16.4;9.5;3.2;37.4;14.86;0.64;0.35;0.51;-0.28;0.42;0.38;0.26;1.32;Bajo;612273;9422795;Piura;Morropon;Buenos Aires;Banano;Loam;Lixisols;Floodplain;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Alluvial deposit;Neutral saline soil;62.91;21.19;3.31;2.65;2.97;19;6.4;25.4;47.44;515.12;-467.68;0;NA;NA;16.25;195;18.38;29.82;24.11;4.86;180;180;115;-0.306;1.95;7.781;238.04;24.9
607;7.82;6.24;0.5;0.4;1.6;51.2;71.74;15;1.45;15.7;9.3;3.8;13.4;14.86;0.44;0.51;0.7;-0.27;0.57;0.37;0.25;1.3;Bajo;612433;9421041;Piura;Morropon;Buenos Aires;Banano;Silty loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Neutral saline soil;62;25.33;2.67;3.33;2.45;23.25;9.5;32.75;46.26;522.4;-476.14;0;NA;NA;16.17;194;18.35;29.78;24.06;2.29;177;134.88;117;0.306;1.358;8.543;232.83;24.9
608;7.79;8.8;0.9;0.5;2.4;81.5;65.3;16.3;1.48;19.5;10.5;3.4;25.26;9.44;0.12;0.19;0.23;-0.3;0.21;0.12;0;0.74;Muy bajo;611709;9429546;Piura;Morropon;Buenos Aires;Banano;Silty loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;B (i) B';Cenozoico;Intermediate igneous residual;Neutral saline soil;64.42;20.86;3.07;5.52;3.09;21;6.8;27.8;61.28;566.42;-505.14;0.32356886;NA;NA;71.58;859;12.85;24.72;18.77;4.86;180;180;128;0.531;1.54;7.881;252.28;24.9
609;7.69;9.32;0.4;0.4;1.3;40.8;54.58;14.35;1.53;16.8;8.8;3.5;41.4;4.02;0.36;0.25;0.36;-0.24;0.3;0.34;0.22;1.15;Muy bajo;612094;9422561;Piura;Morropon;Buenos Aires;Banano;Silty loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Alluvial deposit;Neutral saline soil;61.32;24.39;2.79;2.79;2.51;22;8.75;30.75;42.75;491.62;-448.87;0;NA;NA;16.25;195;18.38;29.82;24.11;5.84;174;146.2;113;-2.306;1.487;7.595;237.42;24.9
610;7.6;13.27;0.7;0.5;1.1;81;48.59;19.1;1.51;16.8;12.9;4;39.26;12.15;0.39;0.25;0.36;-0.24;0.3;0.2;0.1;0.68;Muy bajo;612094;9422557;Piura;Morropon;Buenos Aires;Banano;Loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Alluvial deposit;Neutral saline soil;67.54;20.94;2.62;3.66;3.23;25.8;8;33.8;59.7;690.26;-630.56;0;NA;NA;16.25;195;18.38;29.82;24.11;5.84;174;146.2;113;-2.306;1.487;7.595;237.42;24.9
611;7.4;12.32;0.5;0.7;1;169;45.86;14.6;1.46;16;9.6;2.8;29.18;24.96;0.67;0.43;0.61;-0.26;0.51;0.27;0.15;0.89;Bajo;604785;9423998;Piura;Morropon;La Matanza;Banano;Loam;Lixisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;65.75;19.18;4.79;3.42;3.43;13.71;4;17.71;58.36;509.2;-450.84;0;NA;NA;14.83;178;18.25;29.89;24.05;6.7;192;256.02;105;0.796;1.457;7.358;224.17;24.82
612;7.92;26.37;1;0.9;1.6;232.6;39.72;21.3;1.42;17.7;13.7;4.7;23.32;36.96;0.35;0.18;0.22;-0.32;0.23;0.12;0.03;0.6;Bajo;602617;9426086;Piura;Morropon;La Matanza;Limon;Clay loam;Fluvisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;64.32;22.07;4.23;4.69;2.91;15.22;5.22;20.44;87.19;746.1;-658.91;0;NA;NA;14.75;177;18.27;29.84;24.04;1.63;183;270;100;-0.082;1.353;8.735;220.06;24.85
613;7.4;12.17;0.7;1;2.4;268.8;47.86;22.3;1.4;15.5;14.3;4.8;13.18;38.96;0.66;0.29;0.39;-0.3;0.36;0.2;0.1;0.77;Alto;604529;9425455;Piura;Morropon;La Matanza;Banano;Silty clay loam;Ferralsols;Alluvial terrace;Tropical Premontane desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;64.13;21.52;4.48;3.14;2.98;14.3;4.8;19.1;84.96;775.36;-690.4;0;NA;NA;15;180;18.27;29.82;24.04;5.12;177;18.51;99;-1.939;1.812;7.597;225.94;24.9
614;6.83;21.29;0.6;0.7;1.7;167.9;57.72;13.4;1.44;18;7.5;3.1;17.18;25.1;0.72;0.22;0.29;-0.24;0.28;0.26;0.13;0.96;Bajo;604027;9427134;Piura;Morropon;La Matanza;Limon;Silty loam;Ferralsols;Alluvial terrace;Tropical Premontane desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;55.97;23.13;5.22;4.48;2.42;10.71;4.43;15.14;59.27;422.98;-363.71;0;NA;NA;15.17;182;18.3;29.81;24.06;4.88;189;270;102;0.571;0.948;7.65;226.15;24.9
